Date,Harris_GeneralBedUsing,Harris_CovidBed
2020-03-31,4248,212
2020-04-01,3807,173
2020-04-02,3635,178
2020-04-03,4412,316
2020-04-04,4177,384
2020-04-05,3518,347
2020-04-06,3494,382
2020-04-07,4243,430
2020-04-08,4068,419
2020-04-09,5461,490
2020-04-10,3845,454
2020-04-11,4059,409
2020-04-12,2794,270
2020-04-13,4565,443
2020-04-14,4405,420
2020-04-15,4570,374
2020-04-16,4124,332
2020-04-17,3913,272
2020-04-18,4177,383
2020-04-19,4894,390
2020-04-20,4379,424
2020-04-21,4328,383
2020-04-22,4567,401
2020-04-23,4965,402
2020-04-24,5113,384
2020-04-25,4888,368
2020-04-26,4222,352
2020-04-27,4887,385
2020-04-28,5079,403
2020-04-29,4919,336
2020-04-30,5462,361
2020-05-01,5308,390
2020-05-02,3917,304
2020-05-03,4664,369
2020-05-04,5017,426
2020-05-05,5350,400
2020-05-06,5755,388
2020-05-07,5515,375
2020-05-08,5870,374
2020-05-09,5224,401
2020-05-10,4440,332
2020-05-11,4795,344
2020-05-12,5815,381
2020-05-13,5430,331
2020-05-14,6121,360
2020-05-15,6238,413
2020-05-16,5052,303
2020-05-17,5571,303
2020-05-18,5148,298
2020-05-19,5842,378
2020-05-20,5920,360
2020-05-21,5826,339
2020-05-22,5810,314
2020-05-23,5664,325
2020-05-24,5000,284
2020-05-25,5341,308
2020-05-26,5139,311
2020-05-27,5514,281
2020-05-28,6671,316
2020-05-29,6579,355
2020-05-30,5529,284
2020-05-31,5442,327
2020-06-01,5559,375
2020-06-02,6331,394
2020-06-03,5830,402
2020-06-04,6746,410
2020-06-05,6138,380
2020-06-06,5850,460
2020-06-07,6151,441
2020-06-08,6210,476
2020-06-09,6434,496
2020-06-10,6752,499
2020-06-11,6677,520
2020-06-12,6997,548
2020-06-13,6217,592
2020-06-14,5774,621
2020-06-15,6314,628
2020-06-16,6451,690
2020-06-17,6937,746
2020-06-18,7032,793
2020-06-19,7149,826
2020-06-20,6740,845
2020-06-21,6246,845
2020-06-22,6444,957
2020-06-23,7009,1124
2020-06-24,7308,1143